Details,Sta ID,Route,BEGIN_MP,END_MP,County,AADT,Year,Map,
,034C36,034-CS-2343  -000,0,0.8660,Fayette,6350,2023,,
,034H36,034-CS-4970  -000,0.5430,0.9710,Fayette,6282,2024,,
,034H37,034-CS-4586  -000,0,0.2430,Fayette,6269,2023,,
,034D76,034-CS-2690  -000,0,1.0490,Fayette,6265,2023,,
,034A61,034-KY-1681  -000,6.6480,7.6130,Fayette,6192,2023,,
,034H04,034-CS-1378  -000,0,0.07,Fayette,6168,2024,,
,034G89,034-CS-4009  -000,4.10,5.28,Fayette,5950,2023,,
,034H31,034-CS-3069  -000,0,0.6540,Fayette,5934,2023,,
,034A97,034-CS-2235  -000,0,0.7810,Fayette,5899,2020,,
,034G07,034-KY-1978  -000,0.8580,2.2420,Fayette,5883,2023,,
,034N69,034-CS-2493  -000,0,0.3580,Fayette,5804,2024,,
,034C34,034-CS-2242  -000,0,1.1590,Fayette,5743,2022,,
,034H18,034-CS-4087  -000,0.9010,1.6830,Fayette,5713,2024,,
,034E22,034-CS-3817  -000,0,0.5060,Fayette,5634,2022,,
,034H60,034-CS-3198  -000,0,0.71,Fayette,5601,2022,,
,034H38,034-CS-4708  -000,0,0.9650,Fayette,5591,2022,,
,034A63,034-CS-4020  -000,0,0.7090,Fayette,5583,2024,,
,034M94,034-CS-4912  -000,0,0.2350,Fayette,5555,2023,,
,034D83,034-CS-3886  -000,0,1.2180,Fayette,5528,2019,,
,034C31,034-CS-2102  -000,0.2430,0.9890,Fayette,5505,2023,,
,034H27,034-CS-3966  -000,0,0.3560,Fayette,5456,2023,,
,034D03,034-CS-4907  -000,0.2360,0.7340,Fayette,5443,2023,,
,034793,034-KY-1973  -000,19.2050,21.7520,Fayette,5439,2022,,
,034D59,034-CS-1395  -000,0,0.7420,Fayette,5407,2022,,
,034G90,034-CS-3028  -000,0,0.7630,Fayette,5377,2023,,
,034G26,034-CS-3037  -000,1.4160,2.0040,Fayette,5368,2023,,
,034G91,034-CS-3028  -000,0.7630,1.0140,Fayette,5336,2024,,
,034864,034-CS-3864  -000,0,2.28,Fayette,5332,2022,,
,034H21,034-CS-3830  -000,0,1.0540,Fayette,5308,2023,,
,034N28,034-CS-2160  -000,0.1840,1.0830,Fayette,5295,2022,,
,034N19,034-CS-4908  -000,0,0.3540,Fayette,5264,2022,,
,034D24,034-CS-3739  -000,0.3430,1.8080,Fayette,5255,2023,,
,034B95,034-CS-3234  -000,0,0.0580,Fayette,5195,2022,,
,034B95,034-CS-3497  -000,0,0.2070,Fayette,5195,2022,,
,034367,034-US-0025  -000,0,4.8320,Fayette,5189,2024,,
,034C58,034-CS-2540  -000,0.0720,0.6920,Fayette,5173,2023,,
,034C59,034-CS-2544  -000,0,1.3570,Fayette,5040,2023,,
,034N35,034-CS-3377  -000,0.7460,1.1530,Fayette,5027,2023,,
,034C17,034-CS-3223  -000,1.0320,1.7070,Fayette,4999,2022,,
,034D33,034-CS-3010  -000,0.6780,1.1090,Fayette,4974,2024,,
